BLAZQUEZ,29187,29826,520
ROCA,29033,28636,285
BERMUDEZ,28951,29211,669
COSTA,28850,27951,374
MIGUEL,28672,30273,387
SANTAMARIA,28652,28361,302
SALAZAR,28562,28604,847
GUZMAN,28410,28802,430
SERRA,28400,27454,437
VILLANUEVA,28136,28281,392
CUESTA,27940,27578,492
MANZANO,27913,27776,387
TOMAS,27792,28252,374
HURTADO,27637,27367,335
TRUJILLO,27629,28167,514
RUEDA,27591,27229,382
PACHECO,27273,27618,373
AVILA,27215,26534,277
SIMON,27213,26019,333
DE LA FUENTE,26915,26212,370
PONS,26884,26527,1112
LAZARO,26755,26688,448
SANCHO,26671,26278,327
MESA,26619,26946,383
DEL RIO,26477,26371,307
ESCOBAR,26136,26224,219
MILLAN,25993,26037,258
BLASCO,25953,26186,456
ALARCON,25877,26412,449
LUNA,25808,25741,199
CASTAÑO,25627,25596,503
ZAMORA,25625,24753,298
SALVADOR,25404,24765,352
BERMEJO,25103,24987,380
PAREDES,24933,25154,256
ANTON,24869,24363,446
BALLESTEROS,24841,24409,244
VALVERDE,24786,24285,283
MALDONADO,24572,24395,428
BAUTISTA,24049,24731,271
VALLE,23998,24165,245
PONCE,23916,24231,281
RODRIGO,23729,23778,396
LORENTE,23725,23346,289
OLIVA,23649,23488,200
JUAN,23570,23891,388
CORDERO,23470,23819,231
MAS,23366,22765,463
COLLADO,23258,23269,280
MURILLO,23145,23348,390
POZO,23100,23080,331
DE LA CRUZ,23065,22897,193
CUENCA,23039,22915,317
MONTOYA,22937,23391,1131
MARTOS,22834,22938,293
CUEVAS,22820,22691,329
MARCO,22425,21616,302
BARROSO,22375,22887,268
ROS,22312,21241,210
QUESADA,22262,22591,276
DE LA TORRE,22223,21635,174
BARRERA,22221,22850,278
ORDOÑEZ,22060,22139,270
GIMENO,21917,21786,282
CORRAL,21779,21572,290
ALBA,21772,20900,197
PUIG,21693,20779,277
CABELLO,21628,21569,255
PULIDO,21535,22157,280
ROJO,21484,21636,340
NAVAS,21442,21892,166
SAIZ,21424,21052,574
SORIA,21384,21501,252
ARENAS,21361,21297,256
AGUADO,21352,21075,290
DOMINGO,21318,20707,343
GALINDO,21162,21092,190
VALLEJO,21086,21172,214
MENA,21056,21026,224
ESCRIBANO,21056,21007,252
ASENSIO,20977,21218,271
RAMON,20972,21157,351
VALENCIA,20929,21086,340
LUCAS,20716,20794,245
CARO,20705,20501,290
POLO,20665,21026,260
AGUIRRE,20505,19906,174
NARANJO,20344,19916,259
MATA,20293,20033,175
VILLALBA,20237,19963,202
REINA,20219,20353,203
PAZ,20179,20405,395
AMADOR,20114,19081,1411
MORAN,20034,19867,381
LINARES,19913,19842,165
OJEDA,19611,18996,321
LEAL,19587,19850,182
BURGOS,19402,19648,147
CHEN,19367,1257,139
OLIVER,19180,18106,178
CARRETERO,19174,18965,239
BONILLA,18847,18688,199
SOSA,18723,17729,261
ROIG,18552,18159,305
ARAGON,18401,18747,246
CARRION,18335,17903,217
CLEMENTE,18274,19030,158
VILLA,18216,17674,125
CASTELLANO,18126,17798,366
CARRERA,18059,18682,259
HERNANDO,17981,17902,342
CORDOBA,17974,18189,208
ROSA,17948,18164,156
ANDREU,17937,17842,136
CACERES,17859,17962,170
CALERO,17732,17977,215
CORREA,17634,17256,246
MOHAMED,17591,16012,2999
COBO,17578,17575,374
CARDENAS,17559,17368,227
FERREIRA,17533,14632,127
ALCARAZ,17443,17149,189
JUAREZ,17436,17192,168
VELAZQUEZ,17411,16962,196
DOMENECH,17343,16847,164
SOLA,17320,17018,138
CHACON,17316,17498,213
RIERA,17313,16928,315
SAAVEDRA,17282,16898,289
TOLEDO,17248,17628,166
LLORENTE,17238,17054,409
ZAPATA,17233,16872,207
MORAL,17079,16697,481
VELA,16902,16953,181
SALGADO,16772,16660,267
CARBONELL,16658,16235,324
VILLEGAS,16586,16426,221
ARRIBAS,16532,16414,232
PRADO,16473,16435,229
ALFONSO,16465,16388,189
REQUENA,16399,15934,134
AYALA,16393,15872,151
PELAEZ,16388,16441,230
SEVILLA,16388,16403,159
FONT,16331,15637,138
BARRIOS,16273,16071,114
LUIS,16255,17404,569
CARBALLO,16255,16232,262
PIÑEIRO,16242,16279,363
OLIVARES,16205,16135,194
ESTEVE,16064,15428,175
MARQUES,16050,14964,208
DA SILVA,15959,16863,92
SOLIS,15944,15853,212
PINTO,15866,16075,152
CAMARA,15798,12258,285
GRAU,15786,14915,219
QUINTERO,15780,16318,237
SALINAS,15751,15264,122
BOSCH,15688,14743,181
PEREA,15567,15863,151
PINEDA,15565,14868,180
CID,15508,15312,433
MARRERO,15415,15267,404
BALLESTER,15379,15055,158
CANTERO,15374,15096,101
CASTILLA,15367,15188,161
SANCHIS,15232,14687,235
DE LA ROSA,15093,14748,226
PALOMO,15065,15420,189
AREVALO,15037,15043,162
CASANOVA,14931,14269,172
MIRALLES,14906,14907,128
SALA,14905,14314,141
RINCON,14887,14904,220
NICOLAS,14860,14947,204
LAGO,14838,14710,412
BAENA,14824,14431,130
HERRANZ,14745,13950,410
PORRAS,14742,14437,134
BELMONTE,14715,15222,165
CARDONA,14690,14255,282
PALMA,14630,14244,203
RECIO,14615,14453,149
ARRANZ,14610,14685,312
MUÑIZ,14608,14639,181
PINO,14608,14539,91
BARBA,14584,14304,110
VENTURA,14441,14084,93
BARREIRO,14409,14306,237
COLL,14389,14231,191
CABEZAS,14307,13957,174
COBOS,14297,13850,95
CUADRADO,14158,14146,111
ANGULO,14104,14084,143
CERVERA,14098,14049,259
VELEZ,14061,14020,181
MADRID,13988,13615,168
PUENTE,13938,14090,140
VAQUERO,13934,13808,122
OCHOA,13848,13953,139
NAVARRETE,13785,13784,166
BECERRA,13750,13402,172
PUJOL,13731,13638,133
OCAÑA,13716,13781,115
TAPIA,13710,13133,141
SINGH,13708,192,25
GRANADOS,13669,13484,122
BELLO,13620,13939,199
VALLS,13523,12717,97
ALFARO,13522,13335,152
VERGARA,13514,13419,115
LATORRE,13386,12825,122
PERALTA,13377,12809,134
LOSADA,13336,13363,151
GAMEZ,13298,13573,224
MEJIAS,13290,13817,128
CAMPO,13265,13169,211
ROVIRA,13265,12850,81
SASTRE,13169,13649,196
CORRALES,13129,13430,89
EGEA,13121,12849,102
CASTELLANOS,13093,12937,141
FALCON,13045,13058,308
BARRAGAN,12994,13191,159
ALCANTARA,12989,13266,152
ESTRADA,12978,13084,88
CATALAN,12975,12465,181
FRAILE,12970,12834,201
CEBRIAN,12935,12876,170
GODOY,12911,12614,188
CEREZO,12865,12706,97
SEGOVIA,12833,12297,135
HUERTAS,12810,12586,106
FERREIRO,12758,12903,225
BORREGO,12729,13453,87
SOLE,12729,12962,168
RUANO,12728,12566,235
AZNAR,12714,12746,175
BARBERO,12695,12746,216
MORCILLO,12690,12982,136
DUARTE,12671,12226,95
VALENZUELA,12663,12628,162
GUIJARRO,12649,12590,214
ARJONA,12574,12645,185
DEL VALLE,12570,12291,93
TORO,12544,12798,97
PAVON,12528,12862,139
CARVAJAL,12471,12185,116
FAJARDO,12404,12149,255
PEINADO,12402,11914,167
ARIZA,12398,12002,122
CANOVAS,12292,12148,242
JORGE,12282,12268,137
SAINZ,12267,11888,264
ALCAIDE,12240,12059,151
ROMERA,12229,11687,230
MELERO,12176,12269,166
AGUDO,12158,11989,134
MORILLO,12146,12075,269
ROYO,12132,12114,166
BARRIO,12119,11696,246
GORDILLO,12116,12452,135
LLAMAS,12093,11822,99
TEJERO,12061,11900,168
REAL,12058,11730,220
GONZALO,12056,11723,211
ROSALES,12039,12185,124
GALVAN,12036,11844,143
PORTILLO,12033,12170,123
ESPEJO,12014,12261,103
LOBATO,12013,12120,128
VALDES,11974,12087,134
TIRADO,11928,11289,69
DUQUE,11923,11771,239
CRIADO,11872,12064,112
FREIRE,11860,11792,158
DAVILA,11858,11975,249
DOS SANTOS,11843,11285,269
CHAMORRO,11819,11483,134
DORADO,11812,11480,125
GRANDE,11676,10953,157
FRIAS,11631,12118,109
MOYANO,11625,11768,92
CALLEJA,11595,11978,92
PIZARRO,11577,11603,137
ZAMBRANO,11553,11738,353
HUERTA,11516,12187,206
MOSQUERA,11499,11489,208
PLA,11498,11463,70
FIGUEROA,11494,11593,111
SOLANO,11462,11402,150
OLMEDO,11453,10978,125
ROSADO,11452,11753,81
DE MIGUEL,11342,8863,78
ALCAZAR,11332,11744,122
PENA,11322,11336,164
TENA,11311,11506,260
ALCALDE,11274,11308,124
SAENZ,11263,11130,259
FERRERO,11254,10757,283
ALCALA,11242,11638,94
PANIAGUA,11219,10567,224
AVILES,11169,11107,104
VIVES,11157,10879,94
LAFUENTE,11131,10853,130
PAZOS,11120,11076,137
DEL POZO,11110,10755,95
LLORENS,11095,10597,89
HERAS,11088,11003,130
NOGUERA,11059,11209,92
BONET,11037,10985,136
REBOLLO,11025,10958,137
GARZON,10960,10729,145
CHAVES,10917,10927,150
ARAUJO,10890,10785,61
AMAYA,10884,10511,783
BARTOLOME,10882,10857,172
SALCEDO,10862,10788,115
SERNA,10857,10651,226
BRITO,10805,10967,196
MATEU,10787,10581,120
POVEDA,10773,10761,138
VALLES,10769,10342,116
PAEZ,10759,9943,116
ARCE,10750,10762,117
SALGUERO,10749,10619,438
OLMO,10726,11533,119
PIÑERO,10720,10591,128
ANDRADE,10715,9862,141
HERVAS,10695,10742,150
BARRANCO,10648,10986,75
ABELLAN,10603,10554,149
HARO,10599,10290,148
CABEZA,10590,11097,95
QUIROS,10586,10651,85
SOUTO,10583,11022,199
GINER,10582,10041,125
VALIENTE,10555,10071,55
BORRAS,10522,10056,104
LLOPIS,10517,10158,116
LIN,10486,634,52
BILBAO,10464,10965,277
YAÑEZ,10455,10524,137
AFONSO,10452,10188,206
GARCES,10417,10572,126
BARCELO,10409,10018,177
FUERTES,10387,10178,153
MIRA,10364,9988,96
PALOMINO,10333,10416,101
MELLADO,10326,10714,84
ALVARADO,10279,10572,111
RIBAS,10271,10134,418
LAGUNA,10264,10233,95
CALLE,10245,10501,259
PALOMARES,10198,10378,142
OSORIO,10194,10475,97
MOLERO,10178,10567,72
CARREÑO,10175,10168,84
OROZCO,10167,10381,165
CASTELLO,10136,10474,113
OSUNA,10110,10104,97
DEL CASTILLO,10106,9644,62
BORJA,10082,9948,864
WANG,10070,646,37
MAESTRE,10047,10113,180
SAN JOSE,10006,9835,27
CASTAÑEDA,9979,9781,88
PRATS,9944,9547,145
MONTESINOS,9887,9911,58
AHMED,9884,5085,360
CEBALLOS,9823,9138,83
MINGUEZ,9818,9745,153
ZAFRA,9817,10043,102
DEL PINO,9814,9929,79
PUERTAS,9786,10002,107
FELIPE,9775,10341,175
BAEZA,9775,9754,88
VILCHEZ,9767,9612,167
CARRERAS,9763,9486,107
BELLIDO,9749,10018,105
GASCON,9719,9764,101
OLMOS,9717,9346,126
PAREJA,9690,9989,151
SEBASTIAN,9683,9604,155
LEIVA,9648,9777,115
VIZCAINO,9640,9617,75
URBANO,9632,9473,75
LUENGO,9619,9393,72
PERALES,9603,9597,88
PERIS,9598,9078,92
JAEN,9584,9488,80
CHAVEZ,9568,9951,101
ZARAGOZA,9542,9349,80
BUSTAMANTE,9492,9425,306
MURCIA,9491,9003,61
MONTORO,9467,9868,54
GAGO,9460,9397,164
ARCOS,9443,9103,69
CAMPILLO,9422,9188,97
ALEGRE,9406,9583,125
MOREIRA,9401,9182,142
CASAL,9368,9077,83
TEJADA,9330,8952,119
ENRIQUEZ,9312,9156,84
DE CASTRO,9304,9155,40
CAÑAS,9260,8849,105
BAÑOS,9256,9433,108
VALERA,9247,9107,114
MONGE,9240,9213,108
FUSTER,9232,8545,148
ACEVEDO,9219,9260,99
VILAR,9217,8501,103
LEDESMA,9210,9047,94
NADAL,9201,8893,73
SANJUAN,9181,8968,110
TEJEDOR,9163,9009,154
BUSTOS,9162,8825,116
SOBRINO,9158,8988,165
SEOANE,9120,8687,116
TELLO,9081,9231,96
FERRE,9009,8808,142
CAZORLA,8994,9283,119
ROCHA,8994,8606,90
PALLARES,8944,8952,117
SALMERON,8913,8909,128
SARMIENTO,8880,8246,171
ZABALA,8876,9070,79
ARMAS,8870,8908,172
VERDU,8860,8993,140
JEREZ,8858,8886,122
CONESA,8858,8692,109
RIPOLL,8851,8897,98
MARI,8839,8617,688
FERRANDO,8832,8437,72
JARA,8809,8726,83
VEIGA,8808,8445,112
ORELLANA,8778,8613,71
VASQUEZ,8771,8490,172
JORDAN,8767,8450,52
FRAGA,8742,8715,137
MORO,8734,8706,101
MAYOR,8733,8607,128
CATALA,8730,8611,145
MONTIEL,8708,8413,109
BAREA,8700,8904,64
CLIMENT,8670,8557,162
TORTOSA,8670,8516,78
ARTEAGA,8662,8333,141
BARRERO,8661,8909,125
TABOADA,8652,8104,76
SAN MARTIN,8645,8342,53
DEL CAMPO,8642,8370,81
SANDOVAL,8640,8381,71
BAEZ,8633,8685,131
LOBO,8628,8727,59
ALMEIDA,8627,8467,104
BEJARANO,8622,8312,71
AYUSO,8585,8648,92
PRADA,8572,8245,191
AMOROS,8564,8492,119
PADRON,8558,8832,285
DIEGUEZ,8550,8668,175
DE LEON,8544,8228,153
PRADOS,8538,8160,82
ABRIL,8504,8210,145
TAMAYO,8486,8816,102
PATIÑO,8456,8035,105
MORON,8432,8300,66
ALVARO,8398,8210,112
BARROS,8376,8624,88
ZHANG,8365,511,32
BATISTA,8359,8085,117
MAYA,8349,8333,329
PEÑALVER,8343,8259,122
MANSO,8341,8385,78
INFANTE,8325,7897,96
ALEMAN,8307,8311,196
CERDA,8296,8204,121
YUSTE,8270,8381,185
GALERA,8264,8172,161
MAROTO,8252,8330,74
RIBERA,8247,8403,66
ALVES,8242,5418,47
ALBERT,8241,7516,122
BERENGUER,8223,7939,63
NOGALES,8222,7841,119
MACHADO,8199,7981,119
MIRO,8128,7658,90
MIGUEZ,8126,8024,142
PINILLA,8126,7929,72
MANRIQUE,8121,7588,60
ECHEVERRIA,8116,8494,279
PEDROSA,8115,8398,81
MOTA,8115,8048,69
VILLAVERDE,8114,7732,79
VIÑAS,8109,8188,65
ATIENZA,8106,8556,103
DIEGO,8104,8625,122
JARAMILLO,8099,8369,165
DEL OLMO,8073,8251,79
SAMPEDRO,8052,8126,128
CANALES,7999,8103,95
LUCENA,7980,7859,77
VILLENA,7975,7750,90
DUEÑAS,7974,7825,85
TERUEL,7950,7983,74
NOVOA,7945,7942,141
CIFUENTES,7927,7752,86
MEDRANO,7926,7809,80
ECHEVARRIA,7919,8369,207
RAYA,7876,7861,78
MANZANARES,7867,7869,46
ORTUÑO,7854,7635,63
SEVILLANO,7817,7754,102
UBEDA,7807,7857,55
ALMAGRO,7778,7613,76
ARES,7748,7741,144
CHECA,7742,7697,107
LUJAN,7723,7443,134
ROBLEDO,7717,7911,80
MERCHAN,7715,7692,120
FRANCISCO,7711,7718,132
TRIGO,7708,7613,74
FRANCES,7671,7942,123
ACEDO,7665,7982,187
DE LAS HERAS,7662,7479,77
PERDOMO,7652,7978,216
MEJIA,7651,7791,107
HERMIDA,7622,7631,106
SEGARRA,7619,7375,73
MACIA,7616,7477,97
HERREROS,7615,7955,133
INIESTA,7614,7339,78
MORILLAS,7612,7298,125
DE DIEGO,7597,6929,86
TORRE,7596,7895,81
QUEVEDO,7592,7450,55
CAPARROS,7590,7109,105
BOLAÑOS,7588,7461,97
ESPAÑA,7581,7391,85
PUERTO,7574,7721,50
BALAGUER,7558,7231,51
RODRIGUES,7536,4782,47
MONTAÑO,7535,7453,176
PRAT,7501,7155,69
ESPADA,7490,7767,61
MATAS,7489,6966,95
ZAMORANO,7488,7150,55
GRANADO,7472,7511,85
IBARRA,7451,7314,76
TALAVERA,7439,7723,104
PUERTA,7417,7102,138
BERNABE,7387,7268,56
GIRALDO,7380,7020,132
BARBERA,7379,7593,60
MAYO,7379,7400,155
MARIÑO,7376,7330,83
YE,7374,459,20
PINA,7369,7172,43
TELLEZ,7365,7413,69
PERAL,7363,7565,77
CUBERO,7358,7510,88
CORONADO,7340,7378,48
TORIBIO,7334,7254,87
TOME,7322,7334,89
BERNABEU,7309,6910,99
LAMAS,7307,7282,93
MONZON,7301,7045,83
BADIA,7294,7222,30
PEIRO,7292,6882,127
SANMARTIN,7284,7167,117
PALACIO,7283,7036,50
MONTILLA,7268,7288,57
MOLINERO,7261,6906,84
CARRO,7260,7265,150
BUENDIA,7248,7327,69
ENCINAS,7233,7185,73
LLORET,7213,6505,171
ARANA,7203,7125,64
MARTORELL,7158,7407,154
BOIX,7138,7071,60
MELIAN,7122,7108,106
XU,7121,334,15
SAURA,7114,7105,88
RODENAS,7098,7330,84
CAMPS,7082,7047,50
PARRILLA,7067,7095,96
COSTAS,7062,7036,202
VIVAS,7057,7237,61
CERVANTES,7042,6889,59
MAYORAL,7037,6979,64
VALDIVIA,7026,6528,56
FIDALGO,7022,6965,184
COCA,7016,6906,78
FARIÑA,6990,6870,127
CUELLAR,6982,7037,63
HINOJOSA,6982,6971,58
MARISCAL,6958,7008,47
MELENDEZ,6956,6858,62
PIQUERAS,6945,7107,61
ACUÑA,6944,6474,53
QUILES,6943,6818,45
CAÑETE,6938,6690,61
PEDRAZA,6928,6585,49
PLANAS,6919,6652,57
TOVAR,6905,6836,80
MIR,6905,6591,45
REVUELTA,6896,6596,66
NARVAEZ,6882,6825,105
ZURITA,6867,6695,28
SEPULVEDA,6845,6653,65
DE LOS SANTOS,6843,6807,80
LI,6843,411,24
SALES,6831,6701,115
LEMA,6823,6929,272
CARRERO,6816,6828,74
GOÑI,6807,6884,88
FUENTE,6797,7307,135
PICAZO,6789,6935,155
GAMERO,6763,6611,88
PARADA,6726,7011,52
DIALLO,6710,566,164
UREÑA,6704,6391,75
RIAL,6699,6916,109
CAÑADAS,6697,6635,68
FRUTOS,6692,6829,63
PALAU,6684,6299,63
CESPEDES,6680,6524,78
MESTRE,6679,6464,57
PICO,6659,6950,106
SABATER,6651,6370,55
ANDUJAR,6650,7066,47
GORDO,6649,7034,90
TORREGROSA,6649,6356,38
SOLANA,6638,6752,64
GIRON,6615,6529,84
CODINA,6603,6438,43
ARNAU,6587,6650,71
QUIROGA,6586,6217,80
ALAMO,6578,6475,106
PERERA,6574,6413,85
NOVO,6571,6214,68
ROMO,6568,6807,47
AMOR,6560,6300,83
ARELLANO,6552,6380,77
CARRASCOSA,6548,6723,52
MERA,6527,5971,51
GUISADO,6524,7139,49
SEGUI,6524,6038,105
OLIVEIRA,6520,5541,22
BOTELLA,6519,6427,70
VIERA,6512,6801,64
RUS,6503,3632,40
ADAN,6502,6463,99
RIQUELME,6497,6258,169
POP,6493,203,16
VILCHES,6480,6353,43
ANTOLIN,6440,6773,57
AMORES,6429,6244,58
CALATAYUD,6428,6437,61
RIBES,6425,6219,113
ESPINOZA,6411,6341,102
WU,6399,459,29
FARRE,6392,6433,77
VEGAS,6386,6342,118
REVILLA,6380,6381,135
DE DIOS,6349,6200,150
PELLICER,6346,6460,30
NEVADO,6345,6225,86
CHICO,6335,6109,71
TOLEDANO,6326,6271,77
HERRAIZ,6324,6544,242
LIU,6302,368,18
HERMOSO,6296,6272,57
PAREJO,6294,6202,50
CAAMAÑO,6284,6280,165
LABRADOR,6282,6541,70
RAMIRO,6275,6104,68
JIMENO,6260,6187,46
NEIRA,6256,6000,47
PALAZON,6254,6228,233
ZHOU,6253,429,23
JAIME,6246,6213,55
SOUSA,6246,5736,53
BENAVIDES,6244,6144,56
CANTOS,6243,6071,41
QUERO,6241,6093,82
VACA,6240,6811,90
LORA,6238,5925,39
ALEMANY,6237,6123,144
TORRALBA,6236,6001,55
NIEVES,6231,5881,52
SILVESTRE,6206,6063,39
YAGUE,6206,5746,65
ANTUNEZ,6180,6236,56
SEMPERE,6179,5795,143
BELDA,6178,6041,73
ELVIRA,6177,6397,176
CENTENO,6175,6579,54
DEL MORAL,6172,6277,28
VICO,6170,6009,122
COMAS,6168,6214,37
ROSELL,6148,5907,52
FONSECA,6144,6082,28
CORDON,6132,6301,70
VERDUGO,6128,6620,64
SACRISTAN,6117,6059,48
POPA,6115,239,15
FLOREZ,6112,6545,83
GUARDIOLA,6105,6204,58
MANSILLA,6103,6397,110
COLOMER,6095,5684,28
GUIRADO,6092,6050,54
CAPDEVILA,6091,5943,57
POSTIGO,6090,5830,110
GUEVARA,6070,5769,65
HOYOS,6063,5987,113
CANTO,6056,6160,71
MONTENEGRO,6054,5867,35
GALIANO,6053,5994,63
URIARTE,6044,5888,97
RIO,6041,5858,106
ROSELLO,6030,5829,46
FEIJOO,6020,5912,155
SANS,6018,5842,103
ARNAIZ,5990,6105,111
MEGIAS,5967,5688,112
BERROCAL,5958,6102,61
CAÑIZARES,5956,6111,64
PERELLO,5949,5830,107
CABANILLAS,5940,5974,80
LLANOS,5928,5929,49
FIGUERAS,5913,5789,48
PIÑA,5908,5867,49
GISBERT,5906,5810,63
CRISTOBAL,5883,5683,62
GOMES,5871,3817,32
ESPIN,5858,5573,84
TRILLO,5857,6055,160
MAZA,5845,5849,69
GILABERT,5827,5592,31
AROCA,5826,5768,67
ALIAGA,5807,5719,69
PORTELA,5799,5738,107
MONTEAGUDO,5790,5492,71
CERDAN,5783,5688,63
CORNEJO,5776,5812,23
GARRIGA,5761,5349,43
MAÑAS,5757,5755,101
SAN JUAN,5754,6107,52
CHAPARRO,5739,5847,56
TUDELA,5737,5677,63
SECO,5712,6208,48
SMITH,5711,1050,6
CAMPOY,5702,5828,37
QUIÑONES,5699,5887,67
AMADO,5684,5828,79
GABARRI,5684,5368,1008
REIG,5663,5360,16
MESEGUER,5658,5701,57
AMAT,5650,5494,44
JULIAN,5649,5832,46
TORREJON,5644,5976,102
MORILLA,5592,5502,27
CARPIO,5583,5488,48
ALI,5582,2097,40
TEJERA,5579,5912,48
CAMINO,5569,5501,71
HOLGADO,5561,5366,53
OLIVERA,5557,5464,60
MARTINS,5557,4434,27
CARRANZA,5553,5388,59
LIMA,5551,5665,20
CASTELLS,5542,5141,33
MURIEL,5534,5310,43
OVIEDO,5524,5586,62
MERCADO,5524,5270,51
SAN MIGUEL,5517,5265,39
MATOS,5512,5593,133
BASTIDA,5511,5313,35
VALCARCEL,5506,5542,46
MARMOL,5502,5519,22
ESPINO,5502,5114,67
PLASENCIA,5501,5517,211
SALDAÑA,5500,5195,52
GASPAR,5496,5382,55
MORERA,5485,5487,44
BARRIENTOS,5483,5073,64
NOGUEIRA,5482,5250,73
JULIA,5478,5191,38
BETANCOR,5455,5670,122
SAMPER,5454,5029,28
CASALS,5447,5244,52
CARDOSO,5438,5239,41
GUIRAO,5399,5544,39
PARIS,5394,5335,79
ABREU,5371,5453,78
LILLO,5370,4980,59
MELGAR,5366,5292,50
GAVILAN,5356,5343,29
BARBOSA,5346,5100,33
BENAVENTE,5342,5043,24
MORATO,5304,5225,37
FLORIDO,5292,5299,81
